2025-08-26 15:09:17 - 
Experiment Configuration:
2025-08-26 15:09:17 - --------------------------------------------------
2025-08-26 15:09:17 - dataset: ds005863
2025-08-26 15:09:17 - use_combined_datasets: False
2025-08-26 15:09:17 - electrode_list: common
2025-08-26 15:09:17 - classifier: lda
2025-08-26 15:09:17 - separate_subject_classification: True
2025-08-26 15:09:17 - use_subject_layer: False
2025-08-26 15:09:17 - seeds: [1]
2025-08-26 15:09:17 - --------------------------------------------------
2025-08-26 15:09:17 - 
==================================================
2025-08-26 15:09:17 - Processing Active Visual Oddball Dataset
2025-08-26 15:09:17 - ==================================================
2025-08-26 15:10:47 - Subject: sub-045, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-046, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-047, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-048, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-049, Accuracy: 83.333%
2025-08-26 15:10:47 - Subject: sub-050, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-051, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-052, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-053, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-054, Accuracy: 87.500%
2025-08-26 15:10:47 - Subject: sub-055, Accuracy: 89.474%
2025-08-26 15:10:47 - Subject: sub-056, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-057, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-058, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-059, Accuracy: 83.333%
2025-08-26 15:10:47 - Subject: sub-060, Accuracy: 78.571%
2025-08-26 15:10:47 - Subject: sub-061, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-062, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-063, Accuracy: 83.333%
2025-08-26 15:10:47 - Subject: sub-064, Accuracy: 80.952%
2025-08-26 15:10:47 - Subject: sub-065, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-066, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-067, Accuracy: 78.571%
2025-08-26 15:10:47 - Subject: sub-068, Accuracy: 80.952%
2025-08-26 15:10:47 - Subject: sub-069, Accuracy: 83.333%
2025-08-26 15:10:47 - Subject: sub-070, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-071, Accuracy: 80.952%
2025-08-26 15:10:47 - Subject: sub-073, Accuracy: 83.333%
2025-08-26 15:10:47 - Subject: sub-074, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-075, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-076, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-077, Accuracy: 83.333%
2025-08-26 15:10:47 - Subject: sub-078, Accuracy: 78.571%
2025-08-26 15:10:47 - Subject: sub-079, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-080, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-081, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-082, Accuracy: 76.190%
2025-08-26 15:10:47 - Subject: sub-083, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-111, Accuracy: 80.952%
2025-08-26 15:10:47 - Subject: sub-112, Accuracy: 69.048%
2025-08-26 15:10:47 - Subject: sub-113, Accuracy: 92.500%
2025-08-26 15:10:47 - Subject: sub-114, Accuracy: 87.500%
2025-08-26 15:10:47 - Subject: sub-115, Accuracy: 85.000%
2025-08-26 15:10:47 - Subject: sub-116, Accuracy: 90.000%
2025-08-26 15:10:47 - Subject: sub-117, Accuracy: 85.000%
2025-08-26 15:10:47 - Subject: sub-118, Accuracy: 92.500%
2025-08-26 15:10:47 - Subject: sub-119, Accuracy: 87.500%
2025-08-26 15:10:47 - Subject: sub-120, Accuracy: 80.000%
2025-08-26 15:10:47 - Subject: sub-121, Accuracy: 87.500%
2025-08-26 15:10:47 - Subject: sub-122, Accuracy: 82.500%
2025-08-26 15:10:47 - Subject: sub-123, Accuracy: 82.500%
2025-08-26 15:10:47 - Subject: sub-124, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-125, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-127, Accuracy: 85.000%
2025-08-26 15:10:47 - 
AVO Individual Models Statistics:
2025-08-26 15:10:47 - Mean Accuracy: 0.866
2025-08-26 15:10:47 - 95% Confidence Interval: [0.856, 0.876]
2025-08-26 15:10:47 - Best Subject: sub-011 (0.952)
2025-08-26 15:10:47 - Worst Subject: sub-112 (0.690)
